touchpoint_id,customer_id,campaign_id,touchpoint_time,touchpoint_type,sales_rep_id,cost_amount
T000001,C0009,CAMP006,2024-01-14,HOSPITAL_VISIT,SR003,1754.41
T000002,C0009,CAMP015,2024-01-19,HOSPITAL_VISIT,SR003,415.4
T000003,C0008,CAMP004,2024-01-02,ONLINE,SR001,2351.56
T000004,C0018,CAMP014,2024-01-01,CONFERENCE,SR006,2037.75
T000005,C0005,CAMP009,2024-01-03,CONFERENCE,SR004,2438.43
T000006,C0005,CAMP006,2024-01-08,EMAIL,SR004,843.75
T000007,C0011,CAMP010,2024-01-08,ONLINE,SR001,2212.31
T000008,C0052,CAMP015,2024-01-06,HOSPITAL_VISIT,SR010,1832.72
T000009,C0033,CAMP008,2024-01-06,HOSPITAL_VISIT,SR012,2140.17
T000010,C0036,CAMP008,2024-01-06,ONLINE,SR007,879.9
T000011,C0078,CAMP012,2024-01-02,EMAIL,SR016,1969.19
T000012,C0081,CAMP007,2024-01-05,HOSPITAL_VISIT,SR015,2443.12
T000013,C0089,CAMP012,2024-01-13,EMAIL,SR016,737.03
T000014,C0097,CAMP009,2024-01-05,ONLINE,SR020,1257.76
T000015,C0109,CAMP010,2024-01-19,CONFERENCE,SR019,641.55
T000016,C0008,CAMP013,2024-01-24,EMAIL,SR004,2587.16
T000017,C0020,CAMP015,2024-01-29,CONFERENCE,SR005,743.45
T000018,C0020,CAMP007,2024-02-05,HOSPITAL_VISIT,SR005,1643.66
T000019,C0009,CAMP015,2024-01-01,CONFERENCE,SR001,1039.57
T000020,C0009,CAMP012,2024-01-26,ONLINE,SR001,1769.39
T000021,C0009,CAMP011,2024-01-25,EMAIL,SR006,1548.42
T000022,C0009,CAMP013,2024-01-17,EMAIL,SR004,2815.24
T000023,C0009,CAMP013,2024-02-11,CONFERENCE,SR004,2095.68
T000024,C0009,CAMP004,2024-02-03,ONLINE,SR006,2913.35
T000025,C0013,CAMP004,2024-01-23,EMAIL,SR005,415.88
T000026,C0013,CAMP010,2024-01-16,CONFERENCE,SR005,2579.84
T000027,C0016,CAMP015,2024-01-14,CONFERENCE,SR001,2027.73
T000028,C0009,CAMP001,2024-02-14,CONFERENCE,SR004,791.83
T000029,C0009,CAMP012,2024-01-19,CONFERENCE,SR004,2514.13
T000030,C0026,CAMP012,2024-02-12,HOSPITAL_VISIT,SR003,1279.71
T000031,C0014,CAMP011,2024-01-08,HOSPITAL_VISIT,SR005,1270.06
T000032,C0014,CAMP007,2024-01-01,ONLINE,SR005,1969.39
T000033,C0027,CAMP004,2024-01-27,HOSPITAL_VISIT,SR005,1885.42
T000034,C0001,CAMP001,2024-01-30,ONLINE,SR003,1983.68
T000035,C0019,CAMP014,2024-01-04,ONLINE,SR005,2663.73
T000036,C0003,CAMP004,2024-02-05,ONLINE,SR003,1293.4
T000037,C0003,CAMP006,2024-01-29,HOSPITAL_VISIT,SR003,1429.36
T000038,C0039,CAMP004,2024-02-05,CONFERENCE,SR007,2410.29
T000039,C0031,CAMP011,2024-01-27,HOSPITAL_VISIT,SR011,2869.99
T000040,C0031,CAMP007,2024-01-24,ONLINE,SR011,2742.89
T000041,C0047,CAMP008,2024-01-15,EMAIL,SR011,691.63
T000042,C0040,CAMP002,2024-01-01,HOSPITAL_VISIT,SR007,659.83
T000043,C0031,CAMP008,2024-01-02,ONLINE,SR007,738.59
T000044,C0031,CAMP011,2024-01-20,HOSPITAL_VISIT,SR007,1208.81
T000045,C0059,CAMP003,2024-01-26,HOSPITAL_VISIT,SR009,467.86
T000046,C0057,CAMP007,2024-01-15,HOSPITAL_VISIT,SR008,1321.58
T000047,C0070,CAMP010,2024-01-20,HOSPITAL_VISIT,SR015,1296.2
T000048,C0070,CAMP001,2024-01-16,CONFERENCE,SR015,2656.8
T000049,C0086,CAMP011,2024-01-22,CONFERENCE,SR018,1760.67
T000050,C0086,CAMP014,2024-01-06,ONLINE,SR015,778.84
T000051,C0086,CAMP002,2024-01-05,HOSPITAL_VISIT,SR015,1664.89
T000052,C0090,CAMP011,2024-01-08,EMAIL,SR015,910.89
T000053,C0090,CAMP013,2024-01-10,ONLINE,SR015,1704.02
T000054,C0077,CAMP015,2024-01-27,ONLINE,SR016,1486.29
T000055,C0075,CAMP009,2024-02-15,ONLINE,SR016,2333.83
T000056,C0068,CAMP009,2024-01-14,ONLINE,SR018,1802.76
T000057,C0068,CAMP015,2024-02-07,ONLINE,SR018,1029.51
T000058,C0076,CAMP015,2024-01-02,HOSPITAL_VISIT,SR015,2377.92
T000059,C0076,CAMP015,2024-01-29,EMAIL,SR015,2340.49
T000060,C0073,CAMP001,2024-01-21,ONLINE,SR018,1066.19
T000061,C0073,CAMP008,2024-02-09,EMAIL,SR018,1670.91
T000062,C0110,CAMP007,2024-02-15,EMAIL,SR024,1999.86
T000063,C0110,CAMP007,2024-01-24,EMAIL,SR024,1211.45
T000064,C0021,CAMP011,2024-02-09,HOSPITAL_VISIT,SR006,1335.27
T000065,C0007,CAMP007,2024-02-20,CONFERENCE,SR005,1400.74
T000066,C0007,CAMP005,2024-02-20,HOSPITAL_VISIT,SR005,375.03
T000067,C0026,CAMP013,2024-03-02,EMAIL,SR001,1069.3
T000068,C0026,CAMP015,2024-02-24,ONLINE,SR001,2208.95
T000069,C0026,CAMP008,2024-02-27,EMAIL,SR005,2871.03
T000070,C0025,CAMP011,2024-03-02,EMAIL,SR004,1599.62
T000071,C0027,CAMP013,2024-02-25,HOSPITAL_VISIT,SR005,238.09
T000072,C0027,CAMP012,2024-02-04,CONFERENCE,SR005,1240.27
T000073,C0011,CAMP010,2024-02-23,CONFERENCE,SR005,1864.5
T000074,C0011,CAMP004,2024-03-04,EMAIL,SR005,966.66
T000075,C0025,CAMP002,2024-01-24,EMAIL,SR005,289.43
T000076,C0027,CAMP005,2024-03-11,HOSPITAL_VISIT,SR005,1430.2
T000077,C0027,CAMP014,2024-03-23,HOSPITAL_VISIT,SR005,1356.78
T000078,C0021,CAMP001,2024-02-26,CONFERENCE,SR002,2738.72
T000079,C0021,CAMP012,2024-02-20,ONLINE,SR002,748.85
