customer_id,customer_name,customer_type,hospital_level,province_code,city_code,sales_region_id,customer_segment
C0001,华东药店001,药店,,320000,320100,R_EAST,C
C0002,华东药店002,药店,,320000,320100,R_EAST,B
C0003,华东医院003,医院,三甲,320000,320100,R_EAST,C
C0004,华东医院004,医院,二甲,310000,310100,R_EAST,A
C0005,华东药店005,药店,,320000,320100,R_EAST,C
C0006,华东药店006,药店,,320000,320100,R_EAST,B
C0007,华东医院007,医院,三乙,320000,320100,R_EAST,C
C0008,华东医院008,医院,三甲,310000,310100,R_EAST,A
C0009,华东药店009,药店,,310000,310100,R_EAST,A
C0010,华东医院010,医院,三乙,320000,320100,R_EAST,B
C0011,华东诊所011,诊所,一级,310000,310100,R_EAST,B
C0012,华东药店012,药店,,310000,310100,R_EAST,C
C0013,华东医院013,医院,二甲,310000,310100,R_EAST,A
C0014,华东药店014,药店,,320000,320100,R_EAST,C
C0015,华东药店015,药店,,310000,310100,R_EAST,B
C0016,华东诊所016,诊所,一级,320000,320100,R_EAST,C
C0017,华东药店017,药店,,310000,310100,R_EAST,C
C0018,华东医院018,医院,二甲,320000,320100,R_EAST,C
C0019,华东药店019,药店,,310000,310100,R_EAST,C
C0020,华东药店020,药店,,320000,320100,R_EAST,A
C0021,华东医院021,医院,二甲,310000,310100,R_EAST,B
C0022,华东医院022,医院,三甲,310000,310100,R_EAST,C
C0023,华东药店023,药店,,320000,320100,R_EAST,A
C0024,华东医院024,医院,三乙,310000,310100,R_EAST,B
C0025,华东医院025,医院,三甲,320000,320100,R_EAST,B
C0026,华东医院026,医院,三甲,310000,310100,R_EAST,A
C0027,华东药店027,药店,,310000,310100,R_EAST,A
C0028,华东药店028,药店,,310000,310100,R_EAST,A
C0029,华东药店029,药店,,320000,320100,R_EAST,C
C0030,华东医院030,医院,二甲,310000,310100,R_EAST,B
C0031,华南药店031,药店,,350000,350100,R_SOUTH,A
C0032,华南诊所032,诊所,一级,350000,350100,R_SOUTH,C
C0033,华南医院033,医院,三甲,440000,440100,R_SOUTH,C
C0034,华南医院034,医院,三甲,350000,350100,R_SOUTH,B
C0035,华南诊所035,诊所,一级,350000,350100,R_SOUTH,A
C0036,华南药店036,药店,,440000,440100,R_SOUTH,B
C0037,华南医院037,医院,二甲,350000,350100,R_SOUTH,B
C0038,华南药店038,药店,,440000,440100,R_SOUTH,B
C0039,华南医院039,医院,二甲,440000,440100,R_SOUTH,C
C0040,华南药店040,药店,,350000,350100,R_SOUTH,A
C0041,华南医院041,医院,三甲,440000,440100,R_SOUTH,B
C0042,华南药店042,药店,,440000,440100,R_SOUTH,A
C0043,华南医院043,医院,二甲,350000,350100,R_SOUTH,B
C0044,华南医院044,医院,三乙,440000,440100,R_SOUTH,B
C0045,华南药店045,药店,,440000,440100,R_SOUTH,B
C0046,华南医院046,医院,二甲,350000,350100,R_SOUTH,B
C0047,华南医院047,医院,三乙,440000,440100,R_SOUTH,A
C0048,华南医院048,医院,三乙,440000,440100,R_SOUTH,C
C0049,华南药店049,药店,,440000,440100,R_SOUTH,C
C0050,华南药店050,药店,,440000,440100,R_SOUTH,A
C0051,华南医院051,医院,三甲,440000,440100,R_SOUTH,A
C0052,华南医院052,医院,三甲,350000,350100,R_SOUTH,B
C0053,华南药店053,药店,,440000,440100,R_SOUTH,A
C0054,华南医院054,医院,三甲,440000,440100,R_SOUTH,C
C0055,华南药店055,药店,,350000,350100,R_SOUTH,B
C0056,华南医院056,医院,二甲,440000,440100,R_SOUTH,B
C0057,华南医院057,医院,三甲,350000,350100,R_SOUTH,A
C0058,华南医院058,医院,三乙,440000,440100,R_SOUTH,C
C0059,华南医院059,医院,二甲,350000,350100,R_SOUTH,C
C0060,华南诊所060,诊所,一级,350000,350100,R_SOUTH,C
C0061,华北医院061,医院,二甲,120000,120100,R_NORTH,A
C0062,华北医院062,医院,三甲,120000,120100,R_NORTH,B
C0063,华北医院063,医院,三乙,120000,120100,R_NORTH,C
C0064,华北医院064,医院,二甲,110000,110100,R_NORTH,B
C0065,华北医院065,医院,三乙,110000,110100,R_NORTH,B
C0066,华北药店066,药店,,120000,120100,R_NORTH,B
C0067,华北药店067,药店,,120000,120100,R_NORTH,C
C0068,华北药店068,药店,,120000,120100,R_NORTH,A
C0069,华北医院069,医院,二甲,110000,110100,R_NORTH,C
C0070,华北医院070,医院,二甲,110000,110100,R_NORTH,C
C0071,华北药店071,药店,,120000,120100,R_NORTH,A
C0072,华北医院072,医院,三乙,120000,120100,R_NORTH,B
C0073,华北诊所073,诊所,一级,120000,120100,R_NORTH,A
C0074,华北医院074,医院,三甲,120000,120100,R_NORTH,B
C0075,华北医院075,医院,三甲,120000,120100,R_NORTH,B
C0076,华北医院076,医院,二甲,120000,120100,R_NORTH,B
C0077,华北诊所077,诊所,一级,120000,120100,R_NORTH,B
C0078,华北诊所078,诊所,一级,120000,120100,R_NORTH,B
C0079,华北医院079,医院,三甲,120000,120100,R_NORTH,B
C0080,华北诊所080,诊所,一级,110000,110100,R_NORTH,A
C0081,华北诊所081,诊所,一级,120000,120100,R_NORTH,C
C0082,华北医院082,医院,三乙,120000,120100,R_NORTH,B
C0083,华北医院083,医院,三乙,110000,110100,R_NORTH,B
C0084,华北医院084,医院,三乙,120000,120100,R_NORTH,A
C0085,华北药店085,药店,,120000,120100,R_NORTH,C
C0086,华北药店086,药店,,120000,120100,R_NORTH,C
C0087,华北医院087,医院,三乙,120000,120100,R_NORTH,C
C0088,华北诊所088,诊所,一级,110000,110100,R_NORTH,C
C0089,华北医院089,医院,二甲,110000,110100,R_NORTH,C
C0090,华北医院090,医院,三乙,110000,110100,R_NORTH,B
C0091,西部药店091,药店,,510000,510100,R_WEST,B
C0092,西部医院092,医院,三乙,610000,610100,R_WEST,C
C0093,西部医院093,医院,二甲,510000,510100,R_WEST,B
C0094,西部医院094,医院,二甲,610000,610100,R_WEST,C
C0095,西部诊所095,诊所,一级,510000,510100,R_WEST,B
C0096,西部医院096,医院,二甲,510000,510100,R_WEST,A
C0097,西部医院097,医院,三乙,510000,510100,R_WEST,C
C0098,西部诊所098,诊所,一级,610000,610100,R_WEST,C
C0099,西部诊所099,诊所,一级,510000,510100,R_WEST,A
C0100,西部药店100,药店,,510000,510100,R_WEST,A
C0101,西部医院101,医院,三乙,510000,510100,R_WEST,A
C0102,西部医院102,医院,二甲,610000,610100,R_WEST,A
C0103,西部药店103,药店,,610000,610100,R_WEST,B
C0104,西部医院104,医院,三乙,610000,610100,R_WEST,B
C0105,西部医院105,医院,二甲,510000,510100,R_WEST,B
C0106,西部医院106,医院,三甲,510000,510100,R_WEST,B
C0107,西部医院107,医院,二甲,610000,610100,R_WEST,B
C0108,西部医院108,医院,三甲,610000,610100,R_WEST,B
C0109,西部医院109,医院,二甲,610000,610100,R_WEST,A
C0110,西部药店110,药店,,510000,510100,R_WEST,A
C0111,西部医院111,医院,三甲,610000,610100,R_WEST,B
C0112,西部医院112,医院,三甲,510000,510100,R_WEST,B
C0113,西部药店113,药店,,510000,510100,R_WEST,A
C0114,西部药店114,药店,,610000,610100,R_WEST,C
C0115,西部医院115,医院,三甲,610000,610100,R_WEST,B
C0116,西部医院116,医院,三乙,610000,610100,R_WEST,C
C0117,西部诊所117,诊所,一级,510000,510100,R_WEST,C
C0118,西部诊所118,诊所,一级,510000,510100,R_WEST,B
C0119,西部诊所119,诊所,一级,610000,610100,R_WEST,B
C0120,西部医院120,医院,二甲,510000,510100,R_WEST,A
