payment_id,order_id,payment_date,payment_amount,payment_status
PAY000001,O000001,2024-03-06,29276.5,PAID
PAY000002,O000002,2024-01-25,140838.2,PAID
PAY000003,O000003,2024-03-02,79588.96,PAID
PAY000004,O000004,2024-02-21,63322.75,PAID
PAY000005,O000005,2024-03-02,82253.49,PARTIAL
PAY000006,O000006,2024-02-19,282785.4,PAID
PAY000007,O000007,2024-02-03,1451.66,PAID
PAY000008,O000008,2024-02-15,41872.0,PAID
PAY000009,O000009,2024-01-14,33862.53,PARTIAL
PAY000010,O000010,2024-02-04,23927.24,PARTIAL
PAY000011,O000011,2024-02-18,21931.39,PAID
PAY000012,O000012,2024-01-16,33124.5,PARTIAL
PAY000013,O000013,2024-02-14,20102.49,PARTIAL
PAY000014,O000014,2024-02-16,27706.77,PAID
PAY000015,O000015,2024-02-02,18728.54,PARTIAL
PAY000016,O000016,2024-02-06,8437.42,PAID
PAY000017,O000017,2024-02-11,26871.38,PAID
PAY000018,O000018,2024-02-18,54560.52,PAID
PAY000019,O000020,2024-02-14,12244.39,PAID
PAY000020,O000021,2024-01-22,325990.91,PAID
PAY000021,O000022,2024-01-25,189723.12,PAID
PAY000022,O000023,2024-01-23,186916.07,PAID
PAY000023,O000024,2024-01-27,9441.26,PAID
PAY000024,O000025,2024-02-20,7991.16,PARTIAL
PAY000025,O000026,2024-02-09,19886.94,PAID
PAY000026,O000027,2024-01-31,5731.53,PAID
PAY000027,O000028,2024-02-14,12643.53,PAID
PAY000028,O000029,2024-02-06,9818.25,PAID
PAY000029,O000030,2024-02-08,30619.95,PAID
PAY000030,O000031,2024-02-09,5029.79,PARTIAL
PAY000031,O000032,2024-01-28,5586.26,PAID
PAY000032,O000033,2024-01-29,9822.39,PAID
PAY000033,O000034,2024-02-05,18016.26,PAID
PAY000034,O000035,2024-02-24,18629.68,PARTIAL
PAY000035,O000036,2024-02-04,317158.05,PAID
PAY000036,O000037,2024-02-05,8923.81,PAID
PAY000037,O000038,2024-02-24,57265.4,PAID
PAY000038,O000039,2024-02-04,44150.67,PAID
PAY000039,O000040,2024-02-18,44121.96,PAID
PAY000040,O000041,2024-01-31,27186.49,PAID
PAY000041,O000042,2024-01-23,24128.42,PAID
PAY000042,O000043,2024-01-17,46929.9,PAID
PAY000043,O000044,2024-02-28,15096.21,PAID
PAY000044,O000046,2024-02-01,99834.94,PAID
PAY000045,O000047,2024-02-13,8084.6,PARTIAL
PAY000046,O000048,2024-02-14,13074.02,PAID
PAY000047,O000049,2024-02-29,5564.64,PAID
PAY000048,O000050,2024-02-24,4472.47,PARTIAL
PAY000049,O000051,2024-03-12,166652.39,PAID
PAY000050,O000052,2024-03-07,99940.22,PAID
PAY000051,O000053,2024-03-15,108616.4,PAID
PAY000052,O000054,2024-03-18,63140.94,PARTIAL
PAY000053,O000055,2024-03-12,200857.59,PAID
PAY000054,O000056,2024-03-20,42646.49,PAID
PAY000055,O000057,2024-03-16,36952.98,PAID
PAY000056,O000058,2024-02-24,2913.65,PAID
PAY000057,O000059,2024-03-11,19129.04,PAID
PAY000058,O000060,2024-03-31,31463.16,PAID
PAY000059,O000061,2024-03-05,60285.81,PAID
PAY000060,O000062,2024-03-11,6390.14,PAID
PAY000061,O000063,2024-04-04,2628.51,PARTIAL
PAY000062,O000064,2024-03-05,6811.58,PAID
PAY000063,O000065,2024-02-19,18160.99,PAID
PAY000064,O000066,2024-03-05,20800.23,PAID
PAY000065,O000067,2024-03-02,261133.26,PAID
PAY000066,O000068,2024-03-12,285998.52,PAID
PAY000067,O000069,2024-03-02,248879.41,PAID
PAY000068,O000070,2024-03-29,183410.64,PAID
PAY000069,O000071,2024-03-14,1203.26,PARTIAL
PAY000070,O000073,2024-02-25,51203.61,PAID
PAY000071,O000074,2024-03-22,26072.37,PARTIAL
PAY000072,O000075,2024-02-21,35583.45,PAID
PAY000073,O000076,2024-02-22,3510.91,PAID
PAY000074,O000077,2024-03-23,14597.82,PAID
PAY000075,O000078,2024-03-23,9970.41,PAID
PAY000076,O000079,2024-04-07,206680.78,PAID
PAY000077,O000080,2024-02-18,246037.64,PAID
PAY000078,O000081,2024-02-21,73145.79,PAID
PAY000079,O000082,2024-03-04,223609.57,PAID
PAY000080,O000083,2024-03-04,21768.83,PAID
PAY000081,O000084,2024-03-25,34153.22,PAID
PAY000082,O000085,2024-03-24,15832.38,PARTIAL
