prescription_event_id,customer_id,product_id,event_date,prescription_count,patient_count
RX000001,C0007,P002,2024-01-02,79,64
RX000002,C0028,P007,2024-01-28,111,95
RX000003,C0019,P007,2024-01-15,9,8
RX000004,C0016,P016,2024-01-07,29,23
RX000005,C0004,P013,2024-01-12,14,12
RX000006,C0018,P013,2024-01-01,107,64
RX000007,C0011,P015,2024-01-22,60,50
RX000008,C0021,P017,2024-01-10,119,87
RX000009,C0011,P017,2024-01-02,84,63
RX000010,C0003,P023,2024-01-19,14,11
RX000011,C0005,P022,2024-01-12,93,84
RX000012,C0011,P019,2024-01-05,35,24
RX000013,C0011,P019,2024-01-24,62,56
RX000014,C0025,P030,2024-01-09,99,64
RX000015,C0047,P004,2024-01-09,98,85
RX000016,C0039,P005,2024-01-13,111,78
RX000017,C0044,P014,2024-01-04,59,49
RX000018,C0060,P020,2024-01-10,98,60
RX000019,C0032,P021,2024-01-08,15,12
RX000020,C0036,P029,2024-01-26,104,87
RX000021,C0070,P009,2024-01-09,119,86
RX000022,C0085,P017,2024-01-04,22,19
RX000023,C0089,P017,2024-01-20,12,8
RX000024,C0075,P015,2024-01-13,115,90
RX000025,C0084,P016,2024-01-28,70,49
RX000026,C0072,P023,2024-01-01,17,15
RX000027,C0077,P029,2024-01-06,36,29
RX000028,C0100,P002,2024-01-06,62,55
RX000029,C0097,P014,2024-01-17,55,48
RX000030,C0113,P021,2024-01-25,88,78
RX000031,C0020,P006,2024-02-08,104,97
RX000032,C0009,P005,2024-02-08,14,10
RX000033,C0009,P010,2024-02-18,65,40
RX000034,C0009,P008,2024-02-18,27,18
RX000035,C0009,P018,2024-02-19,80,52
RX000036,C0013,P015,2024-02-05,53,32
RX000037,C0016,P014,2024-02-08,38,33
RX000038,C0009,P021,2024-02-26,17,12
RX000039,C0026,P019,2024-02-17,19,17
RX000040,C0014,P019,2024-02-07,5,4
RX000041,C0001,P029,2024-02-10,115,107
RX000042,C0019,P030,2024-02-06,43,39
RX000043,C0003,P028,2024-02-19,95,69
RX000044,C0041,P006,2024-02-19,12,10
RX000045,C0039,P005,2024-02-15,52,36
RX000046,C0047,P004,2024-02-05,35,25
RX000047,C0033,P018,2024-02-13,99,86
RX000048,C0047,P015,2024-02-09,6,3
RX000049,C0044,P021,2024-02-14,36,33
RX000050,C0031,P020,2024-02-04,53,31
RX000051,C0059,P022,2024-02-12,49,39
RX000052,C0057,P028,2024-02-28,81,73
RX000053,C0078,P005,2024-02-28,88,69
RX000054,C0070,P005,2024-02-06,61,50
RX000055,C0086,P012,2024-02-11,47,33
RX000056,C0086,P015,2024-02-02,8,5
