product_id,product_name,generic_name,therapy_area,product_category,list_price
P001,肿瘤药A,通用名1,肿瘤,处方药,1618.35
P002,肿瘤药B,通用名2,肿瘤,OTC,1902.81
P003,肿瘤药C,通用名3,肿瘤,处方药,885.26
P004,肿瘤药D,通用名4,肿瘤,处方药,1562.6
P005,肿瘤药E,通用名5,肿瘤,处方药,1002.54
P006,肿瘤药F,通用名6,肿瘤,处方药,1246.56
P007,免疫药A,通用名7,免疫,处方药,1648.11
P008,免疫药B,通用名8,免疫,OTC,1470.04
P009,免疫药C,通用名9,免疫,处方药,2117.21
P010,免疫药D,通用名10,免疫,处方药,1704.95
P011,免疫药E,通用名11,免疫,处方药,2232.25
P012,免疫药F,通用名12,免疫,处方药,2088.12
P013,糖尿病药A,通用名13,糖尿病,处方药,205.3
P014,糖尿病药B,通用名14,糖尿病,处方药,193.28
P015,糖尿病药C,通用名15,糖尿病,处方药,275.95
P016,糖尿病药D,通用名16,糖尿病,处方药,125.67
P017,糖尿病药E,通用名17,糖尿病,处方药,296.11
P018,糖尿病药F,通用名18,糖尿病,处方药,277.9
P019,心血管药A,通用名19,心血管,处方药,137.7
P020,心血管药B,通用名20,心血管,处方药,241.57
P021,心血管药C,通用名21,心血管,处方药,229.11
P022,心血管药D,通用名22,心血管,处方药,230.24
P023,心血管药E,通用名23,心血管,处方药,222.98
P024,心血管药F,通用名24,心血管,处方药,216.22
P025,呼吸药A,通用名25,呼吸,处方药,205.05
P026,呼吸药B,通用名26,呼吸,OTC,171.5
P027,呼吸药C,通用名27,呼吸,处方药,98.21
P028,呼吸药D,通用名28,呼吸,处方药,121.76
P029,呼吸药E,通用名29,呼吸,处方药,129.97
P030,呼吸药F,通用名30,呼吸,OTC,157.05
