order_item_id,order_id,product_id,quantity,unit_price,discount_amount,net_amount
OI0000001,O000001,P004,21,1433.48,826.58,29276.5
OI0000002,O000002,P004,17,1550.99,839.15,25527.68
OI0000003,O000002,P005,113,1035.71,1724.71,115310.52
OI0000004,O000003,P005,81,1040.35,4679.39,79588.96
OI0000005,O000004,P003,80,875.98,6755.65,63322.75
OI0000006,O000005,P011,82,2262.44,14086.36,171433.72
OI0000007,O000005,P008,40,1526.62,4892.58,56172.22
OI0000008,O000005,P009,10,2215.53,2572.48,19582.82
OI0000009,O000006,P008,49,1512.43,1251.46,72857.61
OI0000010,O000006,P011,19,2146.78,93.6,40695.22
OI0000011,O000006,P010,105,1766.12,16210.03,169232.57
OI0000012,O000007,P014,8,193.68,97.78,1451.66
OI0000013,O000008,P015,64,253.07,1658.5,14537.98
OI0000014,O000008,P017,101,278.9,834.88,27334.02
OI0000015,O000009,P017,112,305.44,913.96,33295.32
OI0000016,O000009,P017,45,272.29,1240.7,11012.35
OI0000017,O000009,P018,96,262.6,1390.86,23818.74
OI0000018,O000010,P017,64,269.12,247.38,16976.3
OI0000019,O000010,P017,68,282.34,1135.76,18063.36
OI0000020,O000010,P017,103,278.84,2436.16,26284.36
OI0000021,O000011,P015,81,275.92,418.13,21931.39
OI0000022,O000012,P018,103,267.3,2939.62,24592.28
OI0000023,O000012,P018,49,273.22,861.08,12526.7
OI0000024,O000012,P017,96,309.82,1287.9,28454.82
OI0000025,O000013,P024,59,213.76,274.69,12337.15
OI0000026,O000013,P021,98,216.44,1452.02,19759.1
OI0000027,O000014,P021,46,237.84,412.14,10528.5
OI0000028,O000014,P021,89,217.7,2197.03,17178.27
OI0000029,O000015,P019,51,134.42,30.76,6824.66
OI0000030,O000015,P020,96,245.16,676.29,22859.07
OI0000031,O000016,P021,11,211.0,57.94,2263.06
OI0000032,O000016,P023,33,201.64,479.76,6174.36
OI0000033,O000017,P019,57,144.53,264.18,7974.03
OI0000034,O000017,P021,40,233.94,198.71,9158.89
OI0000035,O000017,P019,81,125.27,408.41,9738.46
OI0000036,O000018,P019,114,131.66,210.03,14799.21
OI0000037,O000018,P022,92,229.46,2330.56,18779.76
OI0000038,O000018,P021,102,229.44,2421.33,20981.55
OI0000039,O000019,P029,39,119.81,332.57,4340.02
OI0000040,O000019,P027,64,101.89,715.7,5805.26
OI0000041,O000019,P029,115,125.04,219.32,14160.28
OI0000042,O000020,P030,66,153.84,1165.25,8988.19
OI0000043,O000020,P029,31,117.01,371.11,3256.2
OI0000044,O000021,P001,118,1600.41,9028.44,179819.94
OI0000045,O000021,P006,115,1273.4,270.03,146170.97
OI0000046,O000022,P005,116,1016.22,2744.26,115137.26
OI0000047,O000022,P001,51,1528.16,3350.3,74585.86
OI0000048,O000023,P012,66,2133.51,6829.61,133982.05
OI0000049,O000023,P007,22,1607.2,362.24,34996.16
OI0000050,O000023,P008,13,1530.08,1953.18,17937.86
OI0000051,O000024,P014,52,190.78,479.3,9441.26
OI0000052,O000025,P015,51,273.58,435.95,13516.63
OI0000053,O000026,P013,101,200.88,401.94,19886.94
OI0000054,O000027,P015,23,263.66,332.65,5731.53
OI0000055,O000028,P021,53,238.72,8.63,12643.53
OI0000056,O000029,P020,23,241.1,246.22,5299.08
OI0000057,O000029,P021,24,207.29,455.79,4519.17
OI0000058,O000030,P022,21,233.17,362.62,4533.95
OI0000059,O000030,P022,116,228.79,453.64,26086.0
OI0000060,O000031,P030,51,151.05,114.35,7589.2
OI0000061,O000031,P027,22,96.29,29.65,2088.73
OI0000062,O000031,P026,22,165.5,238.8,3402.2
OI0000063,O000032,P028,49,114.88,42.86,5586.26
OI0000064,O000033,P005,12,926.92,1300.65,9822.39
OI0000065,O000034,P004,12,1564.29,755.22,18016.26
OI0000066,O000035,P004,20,1549.27,1540.36,29445.04
OI0000067,O000036,P007,72,1646.17,3340.49,115183.75
OI0000068,O000036,P011,91,2330.71,10120.31,201974.3
OI0000069,O000037,P017,36,277.52,1066.91,8923.81
OI0000070,O000038,P015,107,280.75,926.29,29113.96
OI0000071,O000038,P016,105,119.2,478.65,12037.35
OI0000072,O000038,P017,62,272.5,780.91,16114.09
OI0000073,O000039,P018,92,286.42,330.4,26020.24
OI0000074,O000039,P013,20,213.11,0.3,4261.9
OI0000075,O000039,P018,53,274.93,702.76,13868.53
OI0000076,O000040,P017,114,279.36,3766.68,28080.36
OI0000077,O000040,P015,67,264.47,1677.89,16041.6
OI0000078,O000041,P022,46,224.79,775.08,9565.26
OI0000079,O000041,P024,59,195.53,627.33,10908.94
OI0000080,O000041,P021,32,228.36,595.23,6712.29
OI0000081,O000042,P024,87,199.0,1503.23,15809.77
OI0000082,O000042,P019,67,129.7,371.25,8318.65
OI0000083,O000043,P021,116,224.84,902.32,25179.12
OI0000084,O000043,P021,47,212.36,498.32,9482.6
OI0000085,O000043,P022,59,231.79,1407.43,12268.18
OI0000086,O000044,P026,101,158.12,873.91,15096.21
OI0000087,O000045,P026,17,155.35,45.76,2595.19
OI0000088,O000045,P029,75,120.9,929.92,8137.58
OI0000089,O000046,P005,100,1017.24,1889.06,99834.94
OI0000090,O000047,P013,55,196.18,283.48,10506.42
OI0000091,O000047,P014,30,197.04,532.95,5378.25
OI0000092,O000048,P018,50,289.98,1424.98,13074.02
OI0000093,O000049,P023,25,232.9,257.86,5564.64
OI0000094,O000050,P029,37,132.33,551.6,4344.61
OI0000095,O000050,P026,62,167.03,1053.34,9302.52
OI0000096,O000051,P002,36,1979.12,895.58,70352.74
OI0000097,O000051,P001,27,1662.26,3213.52,41667.5
OI0000098,O000051,P003,68,818.09,997.97,54632.15
OI0000099,O000052,P006,8,1265.97,882.96,9244.8
OI0000100,O000052,P002,48,1970.11,3869.86,90695.42
OI0000101,O000053,P005,33,1018.48,1431.78,32178.06
OI0000102,O000053,P002,44,1964.23,9987.78,76438.34
OI0000103,O000054,P003,99,896.9,4007.42,84785.68
OI0000104,O000054,P002,72,1748.04,7829.81,118029.07
OI0000105,O000055,P011,54,2224.6,10850.76,109277.64
OI0000106,O000055,P007,59,1557.45,309.6,91579.95
OI0000107,O000056,P008,32,1397.75,2081.51,42646.49
OI0000108,O000057,P017,81,277.14,798.76,21649.58
OI0000109,O000057,P015,61,280.32,1796.12,15303.4
OI0000110,O000058,P016,25,117.38,20.85,2913.65
OI0000111,O000059,P017,34,292.48,1175.41,8768.91
OI0000112,O000059,P013,57,196.31,829.54,10360.13
OI0000113,O000060,P024,30,198.87,218.39,5747.71
OI0000114,O000060,P020,118,236.7,2215.15,25715.45
OI0000115,O000061,P020,84,241.56,886.81,19404.23
OI0000116,O000061,P020,96,219.14,1385.53,19651.91
OI0000117,O000061,P020,93,235.0,625.33,21229.67
OI0000118,O000062,P022,30,227.03,420.76,6390.14
OI0000119,O000063,P024,14,204.41,183.88,2677.86
OI0000120,O000063,P019,17,125.26,213.01,1916.41
OI0000121,O000064,P028,58,117.45,0.52,6811.58
OI0000122,O000065,P030,118,162.81,1050.59,18160.99
OI0000123,O000066,P027,93,101.17,743.03,8665.78
OI0000124,O000066,P025,51,213.78,1099.86,9802.92
OI0000125,O000066,P025,11,212.8,9.27,2331.53
OI0000126,O000067,P004,102,1610.59,5950.78,158329.4
OI0000127,O000067,P004,54,1464.32,8978.37,70094.91
OI0000128,O000067,P005,36,934.13,919.73,32708.95
OI0000129,O000068,P004,77,1494.08,1604.22,113439.94
OI0000130,O000068,P003,6,845.75,116.93,4957.57
OI0000131,O000068,P004,108,1626.41,8051.27,167601.01
OI0000132,O000069,P001,88,1592.94,13548.88,126629.84
OI0000133,O000069,P004,68,1543.21,11230.97,93707.31
OI0000134,O000069,P006,23,1279.62,889.0,28542.26
OI0000135,O000070,P009,94,2180.5,21556.36,183410.64
OI0000136,O000071,P018,12,287.35,372.52,3075.68
OI0000137,O000072,P015,22,249.76,472.54,5022.18
OI0000138,O000073,P018,65,288.14,2032.07,16697.03
OI0000139,O000073,P018,100,278.81,2934.29,24946.71
OI0000140,O000073,P014,52,187.11,169.85,9559.87
OI0000141,O000074,P024,113,209.17,2335.33,21300.88
OI0000142,O000074,P023,96,208.36,2367.21,17635.35
OI0000143,O000075,P022,46,217.28,164.05,9830.83
OI0000144,O000075,P024,40,222.14,119.77,8765.83
OI0000145,O000075,P021,76,229.08,423.29,16986.79
OI0000146,O000076,P021,17,223.66,291.31,3510.91
OI0000147,O000077,P030,57,163.19,554.98,8746.85
OI0000148,O000077,P029,46,127.82,28.75,5850.97
OI0000149,O000078,P029,50,117.22,455.39,5405.61
OI0000150,O000078,P026,28,173.2,284.8,4564.8
OI0000151,O000079,P004,30,1470.49,0.9,44113.8
OI0000152,O000079,P004,115,1435.88,2559.22,162566.98
OI0000153,O000080,P001,115,1644.57,3806.96,185318.59
OI0000154,O000080,P001,43,1602.33,8181.14,60719.05
OI0000155,O000081,P003,90,888.06,6779.61,73145.79
OI0000156,O000082,P011,108,2261.5,20632.43,223609.57
OI0000157,O000083,P016,56,127.11,326.87,6791.29
