order_id,customer_id,order_date,order_status,sales_rep_id,channel_id
O000001,C0009,2024-01-26,COMPLETED,SR003,CLINIC
O000002,C0007,2024-01-02,COMPLETED,SR003,HOSPITAL
O000003,C0020,2024-01-27,COMPLETED,SR005,HOSPITAL
O000004,C0008,2024-01-17,COMPLETED,SR001,HOSPITAL
O000005,C0028,2024-01-28,COMPLETED,SR004,PHARMACY
O000006,C0019,2024-01-15,COMPLETED,SR001,CLINIC
O000007,C0016,2024-01-07,COMPLETED,SR002,HOSPITAL
O000008,C0004,2024-01-12,COMPLETED,SR005,CLINIC
O000009,C0018,2024-01-01,COMPLETED,SR002,HOSPITAL
O000010,C0011,2024-01-22,COMPLETED,SR006,CLINIC
O000011,C0021,2024-01-10,COMPLETED,SR001,HOSPITAL
O000012,C0011,2024-01-02,COMPLETED,SR004,HOSPITAL
O000013,C0018,2024-01-17,COMPLETED,SR006,HOSPITAL
O000014,C0003,2024-01-19,COMPLETED,SR004,HOSPITAL
O000015,C0005,2024-01-12,COMPLETED,SR004,PHARMACY
O000016,C0021,2024-01-26,COMPLETED,SR005,HOSPITAL
O000017,C0011,2024-01-05,COMPLETED,SR006,PHARMACY
O000018,C0011,2024-01-24,COMPLETED,SR001,HOSPITAL
O000019,C0009,2024-01-04,CANCELLED,SR005,CLINIC
O000020,C0025,2024-01-09,COMPLETED,SR003,HOSPITAL
O000021,C0047,2024-01-09,COMPLETED,SR010,PHARMACY
O000022,C0039,2024-01-13,COMPLETED,SR012,HOSPITAL
O000023,C0052,2024-01-10,COMPLETED,SR010,PHARMACY
O000024,C0046,2024-01-03,COMPLETED,SR007,CLINIC
O000025,C0045,2024-01-12,COMPLETED,SR007,PHARMACY
O000026,C0044,2024-01-04,COMPLETED,SR009,CLINIC
O000027,C0033,2024-01-21,COMPLETED,SR012,HOSPITAL
O000028,C0051,2024-01-14,COMPLETED,SR009,PHARMACY
O000029,C0060,2024-01-10,COMPLETED,SR009,HOSPITAL
O000030,C0032,2024-01-08,COMPLETED,SR007,PHARMACY
O000031,C0036,2024-01-26,COMPLETED,SR007,CLINIC
O000032,C0043,2024-01-09,COMPLETED,SR012,PHARMACY
O000033,C0068,2024-01-16,COMPLETED,SR018,CLINIC
O000034,C0078,2024-01-12,COMPLETED,SR016,CLINIC
O000035,C0081,2024-01-27,COMPLETED,SR015,HOSPITAL
O000036,C0070,2024-01-09,COMPLETED,SR017,CLINIC
O000037,C0085,2024-01-04,COMPLETED,SR014,PHARMACY
O000038,C0089,2024-01-20,COMPLETED,SR016,PHARMACY
O000039,C0075,2024-01-13,COMPLETED,SR017,PHARMACY
O000040,C0084,2024-01-28,COMPLETED,SR017,PHARMACY
O000041,C0072,2024-01-01,COMPLETED,SR015,HOSPITAL
O000042,C0080,2024-01-12,COMPLETED,SR015,HOSPITAL
O000043,C0089,2024-01-07,COMPLETED,SR018,PHARMACY
O000044,C0073,2024-01-27,COMPLETED,SR017,PHARMACY
O000045,C0077,2024-01-06,CANCELLED,SR017,HOSPITAL
O000046,C0100,2024-01-06,COMPLETED,SR020,HOSPITAL
O000047,C0102,2024-01-11,COMPLETED,SR022,HOSPITAL
O000048,C0097,2024-01-17,COMPLETED,SR020,HOSPITAL
O000049,C0113,2024-01-25,COMPLETED,SR020,HOSPITAL
O000050,C0109,2024-01-28,COMPLETED,SR019,CLINIC
O000051,C0008,2024-02-26,COMPLETED,SR004,HOSPITAL
O000052,C0020,2024-02-08,COMPLETED,SR005,PHARMACY
